fid,立木ID,立木番号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,調査地範囲,コメント,幹周,経度,緯度,平面直角Ｘ,平面直角Ｙ,エリア
290,695,-1,スギ,40.8443985,17,2.757500172,0.938301027,生立木,0,0,0,0,1,,128.1000061,136.9270704,37.29753117,144000.9565,-21241.36697,A1_5a
291,696,-1,アカマツ,13.5,13.39999962,6.900000095,0.096923351,生立木,0,0,0,0,1,,42.40000153,136.9270469,37.29753381,144001.2547,-21243.45724,A1_5a
292,708,-1,アカマツ,16.89999962,20,4.300000191,0.210473925,生立木,0,0,0,0,1,,53,136.927162,37.29743224,143989.957,-21233.28054,A1_5a
293,709,-1,スギ,49.84259796,24.70000076,3.693500042,1.95573473,生立木,0,0,0,0,1,,156.3999939,136.9272566,37.2974816,143995.4138,-21224.87352,A1_5a
294,710,-1,スギ,48.55809784,18.60000038,3.049999952,1.407220721,生立木,0,0,0,0,1,,152.3000031,136.927329,37.29757419,144005.6719,-21218.43023,A1_5a
295,711,-1,スギ,45,23.70000076,1.406200051,1.557416201,生立木,0,0,0,0,1,,141.3000031,136.9272112,37.29753295,144001.1224,-21228.89032,A1_5a
296,712,-1,アカマツ,13.80000019,10.19999981,6.599999905,0.078510664,生立木,0,0,0,0,1,,43.29999924,136.9271924,37.29757638,144005.9452,-21230.54176,A1_5a
297,717,-1,スギ,47.58169937,22.70000076,1.83010006,1.652302146,生立木,0,0,0,0,1,,149.1999969,136.9273005,37.29748492,143995.7722,-21220.98735,A1_5a
298,718,-1,スギ,52.71500397,26.20000076,3.088699818,2.297062635,生立木,0,0,0,0,1,,165.5,136.9272233,37.29751038,143998.6141,-21227.81996,A1_5a
299,719,-1,スギ,39.21010208,23.20000076,1.837000132,1.185597181,生立木,0,0,0,0,1,,123.0999985,136.9273066,37.29751549,143999.163,-21220.43263,A1_5a
300,720,-1,スギ,41.67169952,20.79999924,1.073600054,1.189021707,生立木,0,0,0,0,1,,130.6000061,136.927317,37.29759393,144007.8656,-21219.49296,A1_5a
